date,price,ret_1d,vol_7d,vol_30d,vol_90d,month,day_of_week,vol_regime
2022-01-30,37881.76,-0.007497346048860223,0.16379843972392932,0.5432792812051714,0.6035732677561367,1,6,mid
2022-01-31,38466.9,0.015328401493649993,0.17338670251918079,0.531284787099486,0.5988478505654478,1,0,mid
2022-02-01,38694.59,0.005901665736712944,0.1731686029213545,0.5331732885885125,0.5992892556525187,2,1,mid
2022-02-02,36896.36,-0.04758689578779582,0.4301402550700431,0.5507916548260353,0.6041343992238765,2,2,mid
2022-02-03,37311.61,0.01119163707773322,0.4325194077888326,0.5542549828414445,0.6050728174230935,2,3,mid
2022-02-04,41574.25,0.108176446956934,0.8962388065886924,0.6599974162787923,0.646366070831101,2,4,mid
2022-02-05,41382.59,-0.004620724246786973,0.9063776131788105,0.6596127491054491,0.6428086776962598,2,5,mid
2022-02-06,42380.87,0.02383682019847353,0.8944705876968616,0.6531574266428248,0.6296916683879837,2,6,mid
2022-02-07,43839.99,0.033849333356895696,0.903536041232793,0.6633469022141479,0.6345291534162067,2,0,mid
2022-02-08,44042.99,0.004619787837026135,0.9046854318624015,0.6633573313615394,0.6324685630398491,2,1,mid
2022-02-09,44372.72,0.007458663819307352,0.7306734134258506,0.6635811950400257,0.6328915209415232,2,2,mid
2022-02-10,43495.44,-0.019968761180241705,0.8012580598636511,0.6640067617788517,0.6335796452187309,2,3,mid
2022-02-11,42373.73,-0.02612751026362113,0.4157885219905656,0.6632235539883751,0.6348616050424933,2,4,mid
2022-02-12,42217.87,-0.0036850036261710803,0.414837213837585,0.6545196190118313,0.6332565439779773,2,5,mid
2022-02-13,42053.66,-0.003897169253580327,0.37602798970944307,0.6531951723098415,0.6312509252578029,2,6,mid
2022-02-14,42535.94,0.011402943760908854,0.26870638916012385,0.6545702653026082,0.6228002446729947,2,0,mid
2022-02-15,44544.86,0.046147405647282806,0.4552617283293491,0.67443222379608,0.6306700265618141,2,1,high
2022-02-16,43873.56,-0.015184910543850608,0.46680775437761707,0.6725777987396164,0.6209446329474005,2,2,high
2022-02-17,40515.7,-0.07962230741964704,0.7325726749922346,0.7292483992357368,0.6380296241064947,2,3,high
2022-02-18,39974.44,-0.013449303448535153,0.7213737355707427,0.7285407781804794,0.634933789838607,2,4,high
2022-02-19,40079.17,0.0026164981129269994,0.7252651030803855,0.7241279758987951,0.6344564365229332,2,5,high
2022-02-20,38386.89,-0.04314075292804988,0.767763214163007,0.6281757059929733,0.6348951946102365,2,6,mid
2022-02-21,37008.16,-0.03657756618202442,0.7528960520442266,0.6267197240512934,0.6357916673493003,2,0,mid
2022-02-22,38230.33,0.032490750766217165,0.6832691729943051,0.6264640796899995,0.6402157997457542,2,1,mid
2022-02-23,37250.01,-0.025976966353583753,0.6813176453626472,0.6327714053776547,0.6374571325630664,2,2,mid
2022-02-24,38327.21,0.028507874523143458,0.5778751863511931,0.6398090084542545,0.6153509695651599,2,3,mid
2022-02-25,39219.17,0.02300557006710982,0.6154410759848625,0.6439560353865963,0.6161090254578411,2,4,mid
2022-02-26,39116.72,-0.0026156608014754846,0.6138362191186864,0.6435959926820952,0.6078777657942064,2,5,mid
2022-02-27,37699.07,-0.03691457135600522,0.5905647403780221,0.6555080676874023,0.6108287813872479,2,6,mid
2022-02-28,43160.0,0.1352787146752529,1.0853498727686333,0.8074083207676367,0.6723964041810573,2,0,high
2022-03-01,44421.2,0.028802692569624658,1.083499820128803,0.8107678778137214,0.6753126166298534,3,1,high
2022-03-02,43892.98,-0.01196243454904842,1.0504096768183153,0.8121099342084698,0.6752887021207548,3,2,high
2022-03-03,42454.0,-0.033333261588257904,1.1245732135400184,0.8226585689925277,0.6706441124530625,3,3,high
2022-03-04,39148.66,-0.0810549423019875,1.3126266031428844,0.8562064986254554,0.6678612482688809,3,4,high
2022-03-05,39397.96,0.006347843793420254,1.3132424750681724,0.8557168081737254,0.6679314146232934,3,5,high
2022-03-06,38420.81,-0.025114798426121913,1.2951450143061258,0.7691137301883495,0.6677377606304414,3,6,high
2022-03-07,37988.0,-0.011328919506856962,0.6583843764942926,0.7696880458441469,0.6678344235911042,3,0,high
2022-03-08,38730.63,0.019360439473765596,0.6197433217039814,0.7678906431046932,0.6693747839427681,3,1,high
2022-03-09,41941.71,0.07965003732031377,0.9521853842690092,0.8109653396365933,0.6796580421303509,3,2,high
2022-03-10,39422.0,-0.06195676107004793,1.0211946697794663,0.8374829446982652,0.6903892476799531,3,3,high
2022-03-11,38729.57,-0.017720645144228633,0.8420093268626685,0.8378675468065215,0.6839420998832145,3,4,high
2022-03-12,38807.36,0.002006528401358036,0.840117512447976,0.8362771283654704,0.6832311594508013,3,5,high
2022-03-13,37777.34,-0.026900467390317852,0.8431792618986684,0.8365411558075329,0.6715503224465891,3,6,high
2022-03-14,39671.37,0.04892031687140569,0.913712457070473,0.8565387310714829,0.6754074713555485,3,0,high
2022-03-15,39280.33,-0.009905884169983963,0.9124967153145072,0.8569560453477302,0.6750658430488093,3,1,high
2022-03-16,41114.0,0.045624811430510115,0.756056418400606,0.8720117676764226,0.6802642421619143,3,2,high
2022-03-17,40917.9,-0.004781075985047464,0.5752328214580695,0.8551887129175699,0.6774799465927808,3,3,high
2022-03-18,41757.51,0.02031169524144141,0.547446516535431,0.8576940973654134,0.6780764164073739,3,4,high
2022-03-19,42201.13,0.010567682574771557,0.5425940417223974,0.8109131071062258,0.6784818438595355,3,5,high
2022-03-20,41262.11,-0.022502352481311442,0.524035852160132,0.813604169824176,0.6797246103340516,3,6,high
2022-03-21,41002.25,-0.006317702205992036,0.43549100590933826,0.8139853326419284,0.6742039597688789,3,0,high
2022-03-22,42364.13,0.03267507037255884,0.4565678747895407,0.8054348780017181,0.6777365191841147,3,1,high
2022-03-23,42882.76,0.012167866742905374,0.35362523406114427,0.7929188636304996,0.6716113905657377,3,2,high
2022-03-24,43991.46,0.02552564380828476,0.36486544353584877,0.7902373396528276,0.6738727752723116,3,3,high
2022-03-25,44313.16,0.007286174227543661,0.3552204281008011,0.7824756505337044,0.6739683189798087,3,4,high
2022-03-26,44511.27,0.004460717136023095,0.3557801890101288,0.7781713118093307,0.673834783997242,3,5,high
2022-03-27,46827.76,0.05073377393082759,0.37135429399174186,0.7921378178506386,0.6819843938767925,3,6,high
2022-03-28,47122.21,0.006268250306015814,0.32986362238094175,0.7915402044839315,0.6697684813987035,3,0,high
2022-03-29,47434.8,0.006611696768465159,0.32192800506912134,0.7761056743135925,0.668275134560202,3,1,high
2022-03-30,47067.99,-0.007762984396878372,0.3660718393648472,0.6259029193014229,0.6678709677092427,3,2,mid
2022-03-31,45510.34,-0.03365359925692603,0.47814222205028534,0.6312476954347034,0.6701842718472878,3,3,mid
2022-04-01,46283.49,0.01684575714059203,0.4860242340692837,0.63191025805428,0.6678799020647538,4,4,mid
2022-04-02,45811.0,-0.010261073071446306,0.5006619276008528,0.6208068758509162,0.667941692282154,4,5,mid
2022-04-03,46407.35,0.012933614904539842,0.3327926095094159,0.5432388643237511,0.6675028662124656,4,6,mid
2022-04-04,46580.51,0.0037243614415168034,0.3297719589560909,0.5432747187073826,0.6669921476078721,4,0,mid
2022-04-05,45497.55,-0.023523734948063195,0.35469007738742975,0.5421704290399887,0.6598427678712641,4,1,mid
2022-04-06,43170.47,-0.052501781655002897,0.48990154264989483,0.5763296220489291,0.6682030236760454,4,2,mid
2022-04-07,43444.19,0.006320429156202368,0.46872612392701457,0.5738195918094301,0.6643107547565315,4,3,mid
2022-04-08,42252.01,-0.027825199218427053,0.4428592324876913,0.5144667012159477,0.6667339463683355,4,4,mid
2022-04-09,42753.97,0.011810129932037259,0.4784675090451179,0.46408876638566027,0.667093830610157,4,5,low
2022-04-10,42158.85,-0.014017429746878484,0.4382288912700111,0.4622133879803434,0.6677073131715678,4,6,low
2022-04-11,39530.45,-0.06437336581826365,0.537910693627817,0.5182892844735602,0.6787251516477696,4,0,mid
2022-04-12,40074.94,0.013679940298762482,0.600966336279458,0.5104428021025453,0.6769950353800788,4,1,mid
2022-04-13,41147.79,0.02641901842530263,0.5965645854998118,0.4900179768945718,0.6764290192190624,4,2,mid
2022-04-14,39942.38,-0.029732304130666604,0.6048724916204572,0.5004516740897208,0.6785403806971898,4,3,mid
2022-04-15,40551.9,0.015144719601020222,0.6159894999819929,0.47663050352704944,0.6792985797028563,4,4,low
2022-04-16,40378.71,-0.004279969331170057,0.5986126098715787,0.47657651163139786,0.6793368817775449,4,5,low
2022-04-17,39678.12,-0.017502763604226226,0.6012087120906485,0.4740964918555762,0.6790168138174753,4,6,low
2022-04-18,40801.13,0.027909874843025737,0.42427842361256557,0.483511300341764,0.6814075795751897,4,0,mid
2022-04-19,41493.18,0.01681929927737526,0.42898117403210795,0.48107692956822834,0.6814878957925905,4,1,mid
